UserID,UserNo,Name,Email,IP Address,Unique ID,Started,Device Type,Network Experience,Call Experience,Data Experience,SMS Experience,Locality
214558438,1,,,80.85.100.22,,04/04/2023 15:13,Other,3,N/A,N/A,N/A,N/A
215028594,2,,,185.5.48.30,,14/04/2023 10:03,Samsung,6,N/A,N/A,N/A,N/A
215028596,3,,,77.71.168.135,,14/04/2023 10:03,iPhone,8,N/A,N/A,N/A,N/A
215028651,4,,,46.11.242.235,,14/04/2023 10:04,Samsung,9,N/A,N/A,N/A,N/A
215028652,5,,,141.8.20.32,,14/04/2023 10:04,iPhone,10,N/A,N/A,N/A,N/A
215028657,6,,,185.5.48.9,,14/04/2023 10:03,Samsung,7,N/A,N/A,N/A,N/A
215028659,7,,,92.251.94.87,,14/04/2023 10:04,iPhone,9,N/A,N/A,N/A,N/A
215028671,8,,,92.251.61.100,,14/04/2023 10:04,iPhone,7,N/A,N/A,N/A,N/A
215028691,9,,,46.11.169.81,,14/04/2023 10:04,Samsung,10,N/A,N/A,N/A,N/A
215028693,10,,,185.5.48.37,,14/04/2023 10:04,Samsung,4,N/A,N/A,N/A,N/A
215028697,11,,,185.5.48.34,,14/04/2023 10:04,Huawei,9,N/A,N/A,N/A,N/A
215028718,12,,,78.133.59.38,,14/04/2023 10:03,iPhone,2,N/A,N/A,N/A,N/A
215028725,13,,,78.133.59.38,,14/04/2023 10:06,iPhone,2,N/A,N/A,N/A,N/A
215028738,14,,,185.5.48.2,,14/04/2023 10:04,iPhone,8,N/A,N/A,N/A,N/A
215028805,15,,,195.158.98.128,,14/04/2023 10:07,iPhone,4,N/A,N/A,N/A,N/A
215028838,16,,,77.25.197.201,,14/04/2023 10:08,iPhone,10,N/A,N/A,N/A,N/A
215028840,17,,,88.203.6.194,,14/04/2023 10:06,iPhone,6,N/A,N/A,N/A,N/A
215028896,18,,,185.5.48.37,,14/04/2023 10:08,Xiaomi,8,N/A,N/A,N/A,N/A
215028905,19,,,185.5.48.145,,14/04/2023 10:05,Samsung,10,N/A,N/A,N/A,N/A
215028951,20,,,185.5.48.155,,14/04/2023 10:09,iPhone,4,N/A,N/A,N/A,N/A
215028962,21,,,212.56.134.50,,14/04/2023 10:08,Xiaomi,6,N/A,N/A,N/A,N/A
215028992,22,,,46.11.173.42,,14/04/2023 10:09,iPhone,4,N/A,N/A,N/A,N/A
215028998,23,,,195.158.105.27,,14/04/2023 10:07,Xiaomi,8,N/A,N/A,N/A,N/A
215029155,24,,,185.5.48.149,,14/04/2023 10:09,iPhone,3,N/A,N/A,N/A,N/A
215029182,25,,,185.5.48.174,,14/04/2023 10:07,iPhone,4,N/A,N/A,N/A,N/A
215029485,26,,,195.158.94.178,,14/04/2023 10:14,Huawei,4,N/A,N/A,N/A,N/A
215029897,27,,,185.5.48.23,,14/04/2023 10:24,iPhone,7,N/A,N/A,N/A,N/A
215030093,28,,,141.8.78.115,,14/04/2023 10:27,iPhone,9,N/A,N/A,N/A,N/A
215030375,29,,,185.5.48.150,,14/04/2023 10:30,Xiaomi,1,N/A,N/A,N/A,N/A
215031300,30,,,185.5.48.18,,14/04/2023 10:48,iPhone,2,N/A,N/A,N/A,N/A
215031622,31,,,185.5.48.147,,14/04/2023 10:51,Samsung,10,N/A,N/A,N/A,N/A
215033005,32,,,185.5.48.147,,14/04/2023 11:15,iPhone,9,N/A,N/A,N/A,Birkirkara
215033177,33,,,185.5.48.29,,14/04/2023 11:16,Xiaomi,1,N/A,N/A,N/A,Birkirkara
215033178,34,,,195.158.110.60,,14/04/2023 11:12,Xiaomi,9,N/A,N/A,N/A,N/A
215033429,35,,,185.5.48.42,,14/04/2023 11:19,Samsung,10,10,10,10,Santa Venera
215034250,36,,,46.11.193.131,,14/04/2023 11:30,iPhone,3,5,3,4,Gzira
215036290,37,,,109.200.47.85,,14/04/2023 12:00,Xiaomi,1,4,1,1,Birkirkara
215037141,38,,,77.25.193.39,,14/04/2023 12:11,Xiaomi,10,10,10,10,Mosta
215037748,39,,,92.251.59.130,,14/04/2023 12:25,Samsung,8,9,8,9,Birkirkara
215041180,40,,,46.11.126.237,,14/04/2023 13:17,Samsung,9,10,9,9,Birkirkara
215043298,41,,,185.5.48.137,,14/04/2023 13:50,iPhone,5,9,3,9,Birkirkara
215044767,42,,,2a0c:5a84:e80b:ae00:3123:1948:7301:cca5,,14/04/2023 14:12,iPhone,5,5,4,10,San Giljan
215045433,43,,,46.11.29.42,,14/04/2023 14:21,iPhone,5,5,3,9,Birkirkara
215049498,44,,,46.11.199.41,,14/04/2023 15:13,iPhone,5,5,4,9,Birkirkara
215053043,45,,,188.172.69.80,,14/04/2023 15:54,Samsung,9,7,7,8,Birkirkara
215059220,46,,,185.5.48.151,,14/04/2023 17:38,Samsung,10,10,8,10,Birkirkara
215060936,47,,,46.11.107.38,,14/04/2023 18:27,Samsung,7,6,7,6,Birkirkara
215061890,48,,,185.5.48.175,,14/04/2023 18:47,iPhone,1,5,3,9,San Pawl il-Bahar
215072519,49,,,195.158.96.84,,15/04/2023 06:39,Samsung,8,9,8,9,Birkirkara
215137131,50,,,185.5.48.129,,16/04/2023 02:56,Huawei,8,10,8,10,Birkirkara
215140084,51,,,46.11.106.30,,16/04/2023 08:08,iPhone,1,1,1,1,Birkirkara
215239685,52,,,185.5.48.15,,17/04/2023 20:12,iPhone,2,3,3,3,Santa Venera
215258232,53,,,195.158.81.231,,18/04/2023 08:43,Xiaomi,8,8,7,9,Birkirkara
215258324,54,,,185.5.48.20,,18/04/2023 08:43,iPhone,3,2,2,9,Birkirkara
215258365,55,,,77.25.197.65,,18/04/2023 08:44,Samsung,10,9,10,10,Birkirkara
215258409,56,,,195.158.100.23,,18/04/2023 08:43,Samsung,3,9,6,9,Birkirkara
215258439,57,,,141.8.127.41,,18/04/2023 08:44,OnePlus,8,9,9,10,Birkirkara
215258500,58,,,141.8.39.122,,18/04/2023 08:44,Samsung,6,6,6,10,Iklin
215258690,59,,,213.165.172.103,,18/04/2023 08:46,iPhone,9,9,8,9,Birkirkara
215258733,60,,,185.5.48.158,,18/04/2023 08:46,Samsung,10,10,10,10,Msida
215258795,61,,,212.56.139.244,,18/04/2023 08:46,Samsung,4,8,4,8,Birkirkara
215258803,62,,,185.5.48.154,,18/04/2023 08:45,OnePlus,2,7,1,7,Birkirkara
215258819,63,,,92.251.117.144,,18/04/2023 08:47,Samsung,9,10,8,10,Iklin
215258938,64,,,94.138.255.243,,18/04/2023 08:47,Samsung,3,3,5,8,Birkirkara
215258955,65,,,185.5.48.150,,18/04/2023 08:48,iPhone,5,7,5,5,San Gwann
215258990,66,,,185.5.48.144,,18/04/2023 08:48,Samsung,1,2,1,7,Birkirkara
215259101,67,,,185.5.48.152,,18/04/2023 08:48,Other,8,10,8,10,Qormi
215259170,68,,,185.5.48.12,,18/04/2023 08:49,Samsung,5,2,5,6,Birkirkara
215259247,69,,,185.5.48.5,,18/04/2023 08:50,Samsung,8,10,10,10,Lija
215259270,70,,,185.5.48.52,,18/04/2023 08:51,iPhone,1,3,1,10,Pieta
215259301,71,,,109.200.32.253,,18/04/2023 08:46,Xiaomi,4,4,1,8,Birkirkara
215259317,72,,,94.17.120.176,,18/04/2023 08:51,Samsung,5,9,4,10,Birkirkara
215259670,73,,,185.5.48.28,,18/04/2023 08:54,Samsung,3,3,3,3,Qormi
215259709,74,,,185.5.48.138,,18/04/2023 08:52,Other,4,4,7,8,Birkirkara
215259882,75,,,185.5.48.4,,18/04/2023 08:57,OnePlus,10,9,10,9,Qormi
215260245,76,,,185.5.48.10,,18/04/2023 08:58,iPhone,10,10,10,10,Birkirkara
215260457,77,,,185.5.48.155,,18/04/2023 08:58,Samsung,8,5,5,1,Birkirkara
215260517,78,,,77.25.154.59,,18/04/2023 09:03,Other,1,1,1,1,Attard
215261538,79,,,185.5.48.143,,18/04/2023 09:13,Samsung,7,7,8,9,Birkirkara
215262847,80,,,185.5.48.45,,18/04/2023 09:28,iPhone,3,3,4,5,Birkirkara
215264023,81,,,185.5.48.6,,18/04/2023 09:39,Samsung,10,10,10,10,Birkirkara
215264317,82,,,185.5.48.19,,18/04/2023 09:43,iPhone,2,5,3,2,Birgu
215264478,83,,,37.75.34.40,,18/04/2023 09:45,iPhone,10,10,8,10,Isla
215264526,84,,,94.17.50.86,,18/04/2023 09:46,iPhone,7,10,7,10,Isla
215264562,85,,,77.71.183.16,,18/04/2023 09:45,Xiaomi,9,9,8,9,Kalkara
215264575,86,,,185.5.48.132,,18/04/2023 09:46,Samsung,7,7,7,8,Kalkara
215264629,87,,,94.17.118.181,,18/04/2023 09:46,iPhone,1,1,7,1,Kalkara
215264844,88,,,185.5.48.136,,18/04/2023 09:49,iPhone,10,10,10,10,Kalkara
215264930,89,,,185.5.48.168,,18/04/2023 09:48,Huawei,3,3,3,3,Bormla
215264933,90,,,141.8.36.41,,18/04/2023 09:49,iPhone,7,7,6,8,Kalkara
215265051,91,,,46.11.37.57,,18/04/2023 09:50,iPhone,1,1,1,6,Kalkara
215265124,92,,,185.5.48.166,,18/04/2023 09:50,Other,8,8,6,10,Kalkara
215265492,93,,,195.158.77.42,,18/04/2023 09:55,iPhone,5,8,7,10,Swieqi
215265737,94,,,94.17.34.206,,18/04/2023 09:46,iPhone,9,9,8,9,Isla
215266016,95,,,69.6.42.70,,18/04/2023 10:00,Samsung,7,9,7,9,Kalkara
215266531,96,,,141.8.121.108,,18/04/2023 10:05,Samsung,9,10,8,8,Santa Venera
